id,identity_to_query
UniRef90_A0AAW1FZM3/206-564,0.246
UniRef90_UPI00234D88E0/206-557,0.256
UniRef90_UPI00145A7EBF/204-559,0.249
UniRef90_A0AA88LKA3/219-565,0.238
UniRef90_A0A091J6I3/143-497,0.244
UniRef90_A0A2I4BD30/204-567,0.236
UniRef90_UPI003A5CD9E6/222-577,0.249
UniRef90_UPI000E1BB020/226-579,0.259
UniRef90_A0AAW0PN84/210-564,0.249
UniRef90_UPI001BD2F351/213-567,0.238
UniRef90_UPI0025A5BC32/212-558,0.251
UniRef90_A0ABD1JI82/220-580,0.259
UniRef90_A0A8C5IBX1/420-773,0.251
UniRef90_E5FGJ2/229-573,0.246
UniRef90_A0A093GZ12/137-490,0.256
UniRef90_UPI00234B4F1D/225-575,0.241
UniRef90_A0A6P7IY38/214-566,0.244
UniRef90_UPI00186AF29F/219-566,0.256
UniRef90_A0AAV6GXT9/219-569,0.259
UniRef90_UPI00287312EE/152-496,0.241
UniRef90_A0A8S4B6S1/237-592,0.241
UniRef90_UPI001A9831E4/221-566,0.249
UniRef90_Q4R380/232-574,0.244
UniRef90_UPI0019204F83/227-572,0.246
UniRef90_UPI003CCFC1B0/203-555,0.267
UniRef90_A0A674GVT6/128-480,0.251
UniRef90_G1T998/243-591,0.249
UniRef90_A0A5F9CEU8/249-597,0.249
UniRef90_A0A5F9C146/252-600,0.249
UniRef90_UPI0027DEEAD9/220-566,0.241
UniRef90_A0A673CJJ9/214-568,0.238
UniRef90_A0ABM1KCI7/236-580,0.249
UniRef90_A0A2K5CCB8/233-574,0.249
UniRef90_UPI002B1D96E2/374-728,0.256
UniRef90_A0AA88YG09/190-552,0.251
UniRef90_A0A8C4LKZ5/231-574,0.246
UniRef90_UPI00235A6CFB/230-575,0.241
UniRef90_UPI00292FD131/236-581,0.254
UniRef90_F6VFI0/269-612,0.246
UniRef90_A0AAE0Y0B6/166-529,0.249
UniRef90_UPI002714AA02/227-574,0.241
UniRef90_A0A553QQT7/208-563,0.254
UniRef90_A0ABD3VQL5/201-561,0.256
UniRef90_A0A8C0NGK7/224-575,0.246
UniRef90_H2ZVH2/222-571,0.254
UniRef90_UPI003981201B/221-566,0.233
UniRef90_A0A9F5IUH8/230-572,0.251
UniRef90_A0A3Q1K9J5/210-566,0.256
UniRef90_H2ULE5/206-564,0.249
UniRef90_UPI003B50F193/220-565,0.249
UniRef90_A0A9Q1I6Z8/219-576,0.249
UniRef90_A0A9Q0XS98/235-576,0.233
UniRef90_A0A2K6FMH7/226-572,0.249
UniRef90_UPI00148FD0C0/223-565,0.249
UniRef90_A0A8C8WPH8/227-573,0.246
UniRef90_UPI003831F152/250-602,0.231
UniRef90_A0AAV2ZMB2/219-569,0.233
UniRef90_UPI0036D9EE25/237-585,0.249
UniRef90_A0A3Q2R380/224-566,0.246
UniRef90_A0A3B4VGQ3/208-566,0.259
UniRef90_G1P3K8/227-572,0.244
UniRef90_UPI003AAD7A4C/225-571,0.246
UniRef90_A0A8C4IML7/219-565,0.246
UniRef90_Q9UGP5/229-574,0.244
UniRef90_UPI003AB170B4/273-637,0.254
UniRef90_UPI0024C1BCE9/64-415,0.254
UniRef90_UPI003D9F7ABC/219-566,0.246
UniRef90_UPI0003F06BD2/222-572,0.246
UniRef90_A0A665TBK8/217-566,0.249
UniRef90_A0A8C3H754/244-583,0.238
UniRef90_UPI003463B476/231-577,0.251
UniRef90_P36195/127-506,0.972
UniRef90_A0A7J5ZZD7/213-564,0.244
UniRef90_A0A8D0E9S2/227-566,0.241
UniRef90_UPI0035C9959C/238-596,0.254
UniRef90_A0ABQ7T2N9/233-572,0.244
UniRef90_A0ABN9C3R7/219-572,0.225
UniRef90_A0A9D3QMC0/209-554,0.249
UniRef90_H9GI65/232-573,0.236
UniRef90_A0A8J6DZX3/245-588,0.246
UniRef90_A0A8B8EPS6/196-548,0.259
UniRef90_UPI0035AEF7A3/221-565,0.254
UniRef90_UPI001E8EAA18/249-596,0.241
UniRef90_A0A8B6ZQZ0/226-574,0.236
UniRef90_UPI0003290AA8/214-559,0.241
UniRef90_A0AA49GHW8/213-566,0.251
UniRef90_A0AAV6ZQE8/220-573,0.238
UniRef90_A0AAD7RT13/222-567,0.238
UniRef90_UPI0035CB688C/239-585,0.246
UniRef90_I3KRF4/240-584,0.238
UniRef90_A0A671E8J4/288-633,0.241
UniRef90_G3W992/249-589,0.241
UniRef90_A0A9D3MVH1/252-603,0.246
UniRef90_UPI00352B0128/110-453,0.236
UniRef90_A0A9J7KWM7/242-602,0.249
UniRef90_UPI0024B55271/223-564,0.246
UniRef90_A0A8B8VHJ5/229-574,0.244
UniRef90_UPI0018994C08/208-565,0.241
UniRef90_U3K1T5/227-578,0.254
UniRef90_UPI002FD2B224/233-655,0.256
UniRef90_A0A6P6BT88/250-593,0.238
UniRef90_A0A2T7P9V6/199-556,0.249
UniRef90_A0A8T3DH52/209-554,0.259
UniRef90_A0A8C9C9W8/229-574,0.241
UniRef90_UPI0024339F51/233-573,0.238
UniRef90_A0A8D1HAK2/245-593,0.241
UniRef90_G3T3S9/228-574,0.249
UniRef90_UPI00237DBCD0/225-565,0.241
UniRef90_UPI00293BE5CF/262-607,0.244
UniRef90_A0AAD9F2H2/218-564,0.249
UniRef90_A0A6P4YBK9/237-599,0.249
UniRef90_UPI003D68EAA3/242-584,0.246
UniRef90_A0A4X2JZX2/219-566,0.249
UniRef90_A0A6P3J293/128-474,0.244
UniRef90_A0A8D0GXC7/227-579,0.241
UniRef90_UPI000643130F/149-491,0.246
UniRef90_UPI00352A69A1/241-584,0.236
UniRef90_UPI0024AFD297/186-541,0.259
UniRef90_A0A6J2LV59/249-593,0.238
UniRef90_UPI0020D19755/236-582,0.238
UniRef90_A0A913Z3P4/271-631,0.262
UniRef90_UPI001E26ECC8/205-551,0.238
UniRef90_A0A7K9VHM7/124-506,0.912
UniRef90_A0A7L1CJV4/130-504,0.868
UniRef90_A0A7K6GHJ4/127-504,0.858
UniRef90_A0ABD0KA71/216-574,0.251
UniRef90_A0A3Q3EYP3/218-567,0.241
UniRef90_A0ABM0JE64/223-588,0.251
UniRef90_A0A7K6SHB3/126-505,0.886
UniRef90_A0A9Q0IXU4/35-385,0.259
UniRef90_UPI0035A3A04F/221-573,0.233
UniRef90_A0AA47N132/216-564,0.249
UniRef90_A0A087XHB2/224-572,0.238
UniRef90_UPI0037E73A87/220-566,0.238
UniRef90_UPI00339CA14A/282-627,0.236
UniRef90_A0A7M4F503/225-570,0.244
UniRef90_A0A5F8H1U4/215-563,0.256
UniRef90_A0A8C9QYK7/210-552,0.241
UniRef90_A0A8W8IHN5/161-512,0.256
UniRef90_A0A8C6LH61/207-564,0.249
UniRef90_A0A8C5LLM8/223-573,0.241
UniRef90_A0A8D3A057/233-582,0.254
UniRef90_UPI001C052672/215-566,0.256
UniRef90_UPI00232A0BFD/218-564,0.241
UniRef90_UPI003969EE42/257-619,0.236
UniRef90_M3YZQ5/252-594,0.249
UniRef90_A0A3Q2W0B9/203-547,0.249
UniRef90_A0AAV9SIB0/249-606,0.238
UniRef90_A0A672G5R8/205-566,0.244
UniRef90_UPI003B5AAF18/202-554,0.249
UniRef90_A0A1U7Q2N7/222-567,0.236
UniRef90_UPI0009B40FE8/215-563,0.241
UniRef90_UPI0037E8E258/228-568,0.249
UniRef90_A0A6J0XW99/276-621,0.246
UniRef90_A0A674BGL4/209-564,0.238
UniRef90_A0A3Q2ED81/217-566,0.238
UniRef90_A0ABD0XDJ6/210-568,0.236
UniRef90_UPI001470C082/225-567,0.251
UniRef90_UPI0036048305/223-567,0.254
UniRef90_A0AAA9U271/304-649,0.244
UniRef90_A0A9Q1J4S4/205-555,0.238
UniRef90_A0A7L1L2T9/126-505,0.889
UniRef90_UPI0023ECD299/248-593,0.236
UniRef90_A0A9B0SVE1/225-571,0.249
UniRef90_A0AAN9BT52/227-585,0.251
UniRef90_UPI002AD3D9C0/109-455,0.249
UniRef90_UPI002303FDB7/102-448,0.244
UniRef90_A0A6J0TFW4/254-597,0.228
UniRef90_UPI003B2249BB/235-600,0.251
UniRef90_A0A3Q2Y568/222-559,0.238
UniRef90_A0AAD8DC65/225-569,0.233
UniRef90_A0A8B7K8T7/229-573,0.238
UniRef90_UPI003EB968F2/245-583,0.238
UniRef90_H3D3G8/235-571,0.241
UniRef90_A0A4U5U4X8/214-571,0.251
UniRef90_A0A7K7P0A3/130-505,0.873
UniRef90_A0A7K5YCC9/126-505,0.894
UniRef90_UPI001D165D9B/66-406,0.233
UniRef90_UPI002AD3D13D/211-557,0.249
UniRef90_UPI003AB8D4AF/3-342,0.249
UniRef90_A0ABM0GNR7/234-590,0.249
UniRef90_UPI002AD1EA89/239-585,0.249
UniRef90_A0A3Q3GZ36/210-570,0.236
UniRef90_A0A3B5ATV8/207-555,0.233
UniRef90_UPI000853F684/218-572,0.225
UniRef90_A0A8C3X1Z4/229-574,0.246
UniRef90_UPI002302ECB2/254-599,0.244
UniRef90_A0A3P8ZGM7/213-566,0.238
UniRef90_A0A7K7F7J4/126-505,0.881
UniRef90_A4II30/228-576,0.228
UniRef90_A0A6P3VIJ5/258-612,0.262
UniRef90_A0A2U3W1X2/228-574,0.246
UniRef90_L8Y5V2/227-573,0.236
UniRef90_A0A8J6FCG5/215-567,0.254
UniRef90_A0A7L1X8F0/130-505,0.863
UniRef90_A0A8T2IY48/228-578,0.225
UniRef90_A0A7K9M6R3/135-504,0.902
UniRef90_G3Q2Q6/205-562,0.249
UniRef90_A0A8B7XKP0/275-642,0.262
UniRef90_I3MHE8/233-574,0.238
UniRef90_A0A4Z2I1R2/215-564,0.244
UniRef90_UPI0034624867/209-556,0.251
UniRef90_UPI001ABDD8D1/226-579,0.231
UniRef90_A0A7L0DUC4/135-505,0.883
UniRef90_A0A6P3ET69/220-570,0.241
UniRef90_A0A1A7YLF9/225-580,0.249
UniRef90_UPI002AC7F590/221-574,0.249
UniRef90_UPI002ADF932D/265-610,0.244
UniRef90_A0A835ZU01/48-394,0.241
UniRef90_A0A1S3AEZ4/225-573,0.244
UniRef90_A0A433SUQ6/184-529,0.241
UniRef90_A0A7K5EBU0/134-505,0.855
UniRef90_UPI00210FE211/225-567,0.241
UniRef90_A0A670ZV80/218-562,0.256
UniRef90_UPI002AD38D68/211-568,0.249
UniRef90_UPI0029059A92/182-546,0.244
UniRef90_A0A8J6G6K9/179-524,0.241
UniRef90_UPI00234EAFD6/203-564,0.246
UniRef90_A0A851NL96/137-509,0.907
UniRef90_UPI001B7EFAD2/232-584,0.244
UniRef90_UPI0024C347B5/205-559,0.267
UniRef90_A0A9Q0YU31/205-570,0.259
UniRef90_A0A556TKV2/210-556,0.249
UniRef90_A0A8C8R967/238-576,0.246
UniRef90_UPI0011287C3E/227-575,0.259
UniRef90_A0A8D2CMS0/227-574,0.241
UniRef90_A0A3B3R5U5/214-553,0.236
UniRef90_UPI002404F90D/217-563,0.236
UniRef90_A0AAV1NV18/224-571,0.249
UniRef90_UPI001CFB3B35/220-571,0.267
UniRef90_UPI00234C3CA5/140-482,0.244
UniRef90_H0V5L3/245-593,0.244
UniRef90_UPI001B88D2DE/214-573,0.244
UniRef90_A0AAV4AQS5/187-531,0.241
UniRef90_UPI0014257E7A/251-607,0.246
UniRef90_A0A1S3FAT0/230-573,0.241
UniRef90_UPI002F360031/210-561,0.244
UniRef90_A0A8S3ZLG2/228-578,0.251
UniRef90_A0A6P9DJ78/216-562,0.249
UniRef90_UPI00189FED50/233-571,0.236
UniRef90_A0ABM0IIY2/232-575,0.241
UniRef90_A0AA97L306/58-400,0.238
UniRef90_UPI0035104DC9/230-585,0.233
UniRef90_A0A8C5F1I8/137-509,0.749
UniRef90_A0A7L3MTM5/127-505,0.865
UniRef90_UPI0030FF11BA/127-516,0.868
UniRef90_A0A1S3KIF7/223-581,0.238
UniRef90_UPI002FCD0EAF/235-574,0.238
UniRef90_UPI0010A83E38/155-504,0.244
UniRef90_A0A7K7G3L5/131-505,0.855
UniRef90_UPI0020262DD3/236-574,0.238
UniRef90_UPI003531E1C4/217-577,0.244
UniRef90_A0A6J2PXT0/213-559,0.241
UniRef90_A0A093J9C0/135-495,0.251
UniRef90_A0A0G4KIH1/1295-1689,0.231
UniRef90_UPI00071A367D/127-513,0.870
UniRef90_A0A7K9AX28/124-506,0.860
UniRef90_A0A250Y391/235-581,0.244
UniRef90_F6WYP8/210-559,0.244
UniRef90_UPI001CA80DB2/61-399,0.233
UniRef90_A0A8C6JAS0/116-490,0.847
UniRef90_A0A8C5R7E4/222-569,0.231
UniRef90_UPI0023AB182B/112-499,0.881
UniRef90_A0AA49GG35/220-566,0.241
UniRef90_A0A6I9LQA8/223-572,0.238
UniRef90_A0A7K7KUE6/122-504,0.917
UniRef90_A0AA97JLD7/236-578,0.238
UniRef90_A0AA97JMW6/237-579,0.238
UniRef90_UPI0001D14882/2-324,0.236
UniRef90_A0A8C4VZF0/236-576,0.238
UniRef90_A0A7L3LAY6/128-505,0.865
UniRef90_A0A7K5P3N1/135-505,0.850
UniRef90_A0A835NUS9/236-621,0.868
UniRef90_A0A8B6G2F0/184-545,0.269
UniRef90_A0A9W2ZGQ6/230-590,0.254
UniRef90_UPI00315D3F07/278-642,0.249
UniRef90_UPI0037E96C73/228-580,0.251
UniRef90_UPI0005D02418/60-412,0.244
UniRef90_UPI003B82E66A/212-558,0.244
UniRef90_UPI0031598703/256-616,0.241
UniRef90_UPI003A898FB9/251-606,0.251
UniRef90_A0A8C6RT30/216-562,0.238
UniRef90_A0A6J8A681/183-545,0.280
UniRef90_A0A8T0ABE8/219-557,0.244
UniRef90_K9J1X8/237-574,0.233
UniRef90_A0A7K4JXG3/138-505,0.832
UniRef90_UPI00145842E0/157-516,0.233
UniRef90_A0AAD1WTU0/234-578,0.231
UniRef90_A0AAN8PVV6/30-388,0.236
UniRef90_A0AAD5FV14/185-529,0.244
UniRef90_A0A8C6Y272/218-562,0.246
UniRef90_A0AAY4EZR6/205-553,0.254
UniRef90_G5CAF7/224-571,0.236
UniRef90_A0A8B9HL82/214-558,0.233
UniRef90_A0A6P8QJV3/228-574,0.228
UniRef90_A0A5A9PMR1/204-548,0.251
UniRef90_A0A7K9BY44/125-505,0.858
UniRef90_A0A851JL91/127-504,0.850
UniRef90_UPI0030813805/223-575,0.231
UniRef90_A0A370BSB8/294-666,0.231
UniRef90_UPI00355A5E40/234-585,0.241
UniRef90_A0AAN9A143/276-631,0.254
UniRef90_Q9QXE2/227-572,0.238
UniRef90_UPI003AF6C792/223-586,0.249
UniRef90_A0A8C2UNQ4/221-569,0.238
UniRef90_U3JZX7/100-482,0.868
UniRef90_UPI00202E0846/236-582,0.233
UniRef90_UPI0021E1D18D/223-572,0.238
UniRef90_A0A7K7QJZ5/134-504,0.855
UniRef90_UPI001C89CC01/234-578,0.244
UniRef90_A0AAD9NDY1/199-560,0.254
UniRef90_A0A3B4DP76/216-562,0.241
UniRef90_A0A8B7QVI2/334-673,0.231
UniRef90_UPI000B4FC688/239-581,0.233
UniRef90_A0A4W4FSC6/210-557,0.254
UniRef90_UPI0022E6CA1C/209-560,0.262
UniRef90_A0A7M4F5K0/128-514,0.762
UniRef90_UPI00355AD77A/234-584,0.236
UniRef90_V3ZZB0/155-495,0.238
UniRef90_UPI003742040F/265-618,0.259
UniRef90_UPI0027DC1628/191-545,0.236
UniRef90_A0A8T1T538/22-404,0.769
UniRef90_UPI0021807FB8/222-580,0.236
UniRef90_R7VD68/199-555,0.236
UniRef90_A0A674JJ98/119-505,0.756
UniRef90_UPI003B590A03/51-402,0.238
UniRef90_A0A1Z5LES7/46-405,0.262
UniRef90_UPI003EBBBD16/138-514,0.733
UniRef90_A0A8C5NVB2/122-494,0.370
UniRef90_A0A8I6ASB4/223-565,0.236
UniRef90_A0AA49JEJ1/121-511,0.420
UniRef90_UPI003DA4A656/159-521,0.259
UniRef90_A0A1L9UQM2/333-713,0.231
UniRef90_C3YJ28/162-509,0.246
UniRef90_A0A2K5D0J5/133-499,0.376
UniRef90_UPI003B5C3066/235-586,0.238
UniRef90_UPI001C44B8E3/253-614,0.241
UniRef90_A0A6J2UVU8/115-509,0.425
UniRef90_UPI001CC3ACE7/405-630,0.174
UniRef90_K7FHL8/133-506,0.733
UniRef90_A0A7L1RES6/134-504,0.839
UniRef90_UPI0035B5E76F/226-572,0.233
UniRef90_A0A913X367/172-528,0.246
UniRef90_A0ABN8PXK4/202-556,0.246
UniRef90_UPI00313AA68F/229-590,0.244
UniRef90_UPI003EBE5C73/135-518,0.767
UniRef90_UPI001FB7B15E/231-592,0.249
UniRef90_UPI00339C32EB/135-510,0.661
UniRef90_UPI00106B3DCA/207-565,0.241
UniRef90_UPI000F5E30F3/12-396,0.433
UniRef90_UPI0023069E3E/113-518,0.422
UniRef90_A0A6P8GZH5/197-553,0.241
UniRef90_UPI00215285AD/77-450,0.407
UniRef90_UPI0020D1C4D4/118-521,0.417
UniRef90_A0A8T0B3T2/118-493,0.420
UniRef90_A0A3Q0HEY8/48-433,0.754
UniRef90_Q9NP87/127-494,0.378
UniRef90_UPI0021C61754/274-625,0.251
UniRef90_UPI003CC7B188/145-512,0.378
UniRef90_W5UBD8/118-508,0.420
UniRef90_G0RCE3/331-741,0.246
UniRef90_UPI001C71425D/235-598,0.256
UniRef90_A0AA49JIA1/121-504,0.422
UniRef90_C7YGY5/438-816,0.228
UniRef90_A0A2R5LF19/120-473,0.262
UniRef90_A0ABY2GRJ7/476-862,0.236
UniRef90_UPI00081367C6/128-510,0.637
UniRef90_A0A3M6V1I7/196-550,0.241
UniRef90_A0A293M4P2/121-480,0.259
UniRef90_UPI0003E9D106/6-356,0.378
UniRef90_A0ABM1BDF3/297-652,0.267
UniRef90_UPI0030C80656/239-585,0.225
UniRef90_A0AAV2R8N3/6-363,0.244
UniRef90_A0A4W3J1W4/215-570,0.244
UniRef90_UPI0027E1D703/125-504,0.415
UniRef90_UPI0009E474EF/200-556,0.233
UniRef90_UPI0028C48CB4/238-583,0.236
UniRef90_A0A4U5VAU8/118-502,0.427
UniRef90_UPI00223DC819/245-588,0.241
UniRef90_A0A3Q1IDF5/119-521,0.422
UniRef90_D2H5M3/131-509,0.674
UniRef90_A0A9D3P7J3/86-461,0.526
UniRef90_UPI001444E01F/12-415,0.420
UniRef90_A0A2T4C3K6/489-882,0.249
UniRef90_F1SBG2/134-510,0.663
UniRef90_A0A6M2CKG5/129-478,0.262
UniRef90_A0A0D9RSI4/126-494,0.370
UniRef90_A0A1E1X922/117-482,0.262
UniRef90_A0A8I5N474/93-458,0.368
UniRef90_A0A8D2DMW6/130-510,0.658
UniRef90_A0ABM1EAH4/206-554,0.259
UniRef90_UPI0037E81796/118-533,0.415
UniRef90_A0A0P4VZD0/250-596,0.236
UniRef90_A0A2K6EVB3/120-491,0.368
UniRef90_A0ABM5EQ40/153-533,0.399
UniRef90_A0A1U7T5W7/121-495,0.378
UniRef90_A0A669BFX6/117-530,0.407
UniRef90_UPI00186B1ED9/135-507,0.412
UniRef90_A0ABM1SVB0/104-448,0.259
UniRef90_A0A8H4L9S6/477-854,0.218
UniRef90_A0AAE1QBR7/221-572,0.246
UniRef90_A0A7J8DNJ5/136-510,0.653
UniRef90_A0A2Y9F9N6/130-509,0.674
UniRef90_A0AA88TA23/137-528,0.407
UniRef90_UPI003A5C4369/130-590,0.425
UniRef90_A0AAD9R010/199-557,0.236
UniRef90_UPI002E259ADF/246-585,0.254
UniRef90_UPI0035289D2D/120-537,0.415
UniRef90_A0ABK0LDH4/93-463,0.674
UniRef90_A0A3Q3EI01/125-497,0.492
UniRef90_UPI003510545A/126-487,0.249
UniRef90_I3M0V3/119-494,0.376
UniRef90_A0A8J5CFR0/274-621,0.236
UniRef90_A0A0M9EXF4/438-814,0.241
UniRef90_A0A2T4AAL2/472-853,0.249
UniRef90_UPI001C2E1C27/106-480,0.394
UniRef90_A0A6P7KLE6/134-502,0.495
UniRef90_A0A8B6ZR55/166-543,0.658
UniRef90_UPI001C8A97C3/119-496,0.412
UniRef90_A0A1U7THH0/137-510,0.653
UniRef90_UPI0024AE177D/128-510,0.655
UniRef90_UPI000C03CE0A/203-556,0.231
UniRef90_UPI0039F16A33/116-530,0.422
UniRef90_A0A979FPH1/160-526,0.228
UniRef90_A7SK52/53-399,0.259
UniRef90_P04053/132-509,0.655
UniRef90_UPI0003F05AD1/136-512,0.642
UniRef90_UPI000B4F8D81/138-510,0.666
UniRef90_UPI00234E2A6A/135-507,0.661
UniRef90_A0A667YXG9/121-573,0.420
UniRef90_Q66HH0/120-495,0.391
UniRef90_UPI002FDF3C5D/69-392,0.231
UniRef90_UPI001BD29FA1/112-536,0.420
UniRef90_A0AAE0IIK5/214-611,0.215
UniRef90_A0A3B4XZA4/115-535,0.412
UniRef90_A0A9Y4TV50/118-526,0.412
UniRef90_UPI00112ACE1A/141-510,0.415
UniRef90_A0A8C6ET43/119-494,0.378
UniRef90_A0A9F2N776/125-506,0.640
UniRef90_A0A8C8YVN4/124-503,0.658
UniRef90_A0ABN8PXT6/520-874,0.246
UniRef90_A0A5A9N5M5/74-457,0.402
UniRef90_UPI00230229C2/29-360,0.215
UniRef90_A0A8C6S007/119-494,0.391
UniRef90_A0A8K0S697/429-806,0.233
UniRef90_A0A8B9YVS2/116-485,0.658
UniRef90_A0A8C0TTK2/112-490,0.658
UniRef90_UPI001ED7E958/128-527,0.417
UniRef90_P06526/140-509,0.658
UniRef90_UPI0020770C80/203-548,0.259
UniRef90_UPI00189E2E2B/140-535,0.420
UniRef90_UPI0024582C8B/240-581,0.238
UniRef90_UPI002222082E/112-494,0.404
UniRef90_A0AAW0K764/120-493,0.399
UniRef90_A0A674I7B0/3-334,0.202
UniRef90_UPI001F04679C/208-551,0.241
UniRef90_A0A6A1QB71/147-517,0.661
UniRef90_A0A8B7UHW1/120-494,0.370
UniRef90_UPI002303AE97/131-512,0.412
UniRef90_A0AAW0TZ42/126-524,0.236
UniRef90_A0A6P7TEA4/222-575,0.236
UniRef90_A0A2T4BCH3/256-643,0.233
UniRef90_K7FIW4/234-579,0.236
UniRef90_A0A1L9NN64/332-713,0.233
UniRef90_A0A9D3BQ05/120-513,0.394
UniRef90_A0A9P6LEE9/439-815,0.236
UniRef90_A0A8J1XU29/199-559,0.236
UniRef90_A0A6J2LU94/135-509,0.650
UniRef90_H3D7S0/125-502,0.402
UniRef90_UPI0020185E85/118-494,0.368
UniRef90_UPI00298D0F0C/116-508,0.425
UniRef90_F7A3Y1/132-510,0.655
UniRef90_A0ABM0R0E0/119-495,0.368
UniRef90_UPI001B3A812B/132-500,0.500
UniRef90_A0A8T3EA87/122-511,0.427
UniRef90_A0ABY6UXQ5/418-790,0.236
UniRef90_A0A9P9WER3/430-805,0.228
UniRef90_UPI002453667F/118-494,0.404
UniRef90_UPI003313F20F/177-554,0.251
UniRef90_A0A2T3Z433/445-823,0.241
UniRef90_A0AAV1G942/117-526,0.425
UniRef90_A0A671Q3V0/118-508,0.409
UniRef90_A0A8H4X6B1/429-805,0.225
UniRef90_A0ABM0IUS0/124-495,0.389
UniRef90_UPI003A8661E7/279-633,0.246
UniRef90_A0A3P9MGC1/118-487,0.394
UniRef90_A4PCD4/132-511,0.655
UniRef90_A0A452FQR1/121-488,0.352
UniRef90_A0A6P9CTV4/3-334,0.202
UniRef90_UPI003D6DE346/107-476,0.373
UniRef90_UPI001B3AFB4F/122-544,0.415
UniRef90_A0A2K5S255/3-334,0.202
UniRef90_UPI0022358CDF/141-517,0.642
UniRef90_G9NH38/283-660,0.238
UniRef90_UPI002540CE71/131-513,0.674
UniRef90_UPI0031F6C52A/232-576,0.254
UniRef90_A0A6P7P4A4/113-511,0.427
UniRef90_UPI001C4D0BC4/163-549,0.422
UniRef90_UPI003981250A/113-493,0.417
UniRef90_Q9JIW4/119-496,0.394
UniRef90_UPI00298BE762/134-501,0.526
UniRef90_A0A2D4L0M4/9-341,0.199
UniRef90_A0A559L7M7/430-806,0.223
UniRef90_G3SQY2/3-334,0.205
UniRef90_UPI002303FB55/18-401,0.658
UniRef90_I1RAT5/434-808,0.233
UniRef90_UPI00398EB9C4/239-585,0.231
UniRef90_A0A3M7QF57/726-1075,0.251
UniRef90_A0A8H6NVZ6/436-810,0.228
UniRef90_A0A1V4KHA4/3-334,0.205
UniRef90_UPI003CCF6E38/118-494,0.412
UniRef90_UPI001CC3D5F8/146-518,0.642
UniRef90_A0A8C4E2G3/119-521,0.420
UniRef90_A0A6J0TQ54/144-511,0.642
UniRef90_A0A507AQ66/429-809,0.228
UniRef90_A0A8C4XWP9/3-334,0.205
UniRef90_UPI002FCCF5B5/126-506,0.396
UniRef90_UPI001FD9B6D6/209-582,0.368
UniRef90_A0A8C9RAB2/120-500,0.536
UniRef90_A0A423VIJ3/428-817,0.251
